id,source_recipe_code,food_code_org,food_name,amount,unit
0c6e1987-7a59-422e-b600-952bd6b7d303,ASC377,US-400113,"SIVA'S, AMHUR POWDER (DRY MANGO POWDER)",0.25,tsp
0c73853a-aad7-49e3-b570-5cd5e2951aa1,ASC253,UK-12-332,"Cream, fresh, single",25,g
0c83a364-4b9f-4125-9cb9-b694a93c6b5b,OSR016,A019,"Wheat flour, atta (Triticum aestivum)",195,g
0c89ccae-e40c-4288-a0b9-5e3da5684dd5,ASC444,A018,"Wheat flour, refined (Triticum aestivum)",50,g
0c8e8a4a-af6b-4d11-89be-8c9dca3c46f1,ASC464,H011,"Gingelly seeds, white (Sesamum indicum)",10,g
0c906387-7dc9-47a9-964f-d9da51ed4350,ASC370,UK-11-1145,"Bread, white, average",2,tbsp
0c9792a5-5f43-43ee-8471-f15881e3768a,ASC449,UK-17-356,Bicarbonate of soda,0.25,tsp
0c9bbedb-5e47-440f-b2b0-38466016d5fb,ASC361,G014,"Ginger, fresh (Zingiber officinale)",6.33,g
0c9ff756-7bf8-4a7a-89df-3d1730bf9df3,ASC216,UK-13-829,Garam masala,0.25,tsp
0ca207cf-bd27-4f2a-9c27-344d92b50389,BFP206,UK-13-570,"Tofu, soya bean, steamed",20,g
